Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:29:48.482,Quaker Bot Hard,LG,6.299s,138,50,0.362,300,828,0.362,false
2,10:29:57.236,Quaker Bot Hard,LG,6.394s,140,50,0.357,300,840,0.357,false
3,10:30:05.590,Quaker Bot Hard,LG,5.84s,128,50,0.391,300,768,0.391,false
4,10:30:13.093,Quaker Bot Hard,LG,5.104s,112,50,0.446,300,672,0.446,false
5,10:30:20.500,Quaker Bot Hard,LG,5.057s,111,50,0.45,300,666,0.45,false
6,10:30:28.147,Quaker Bot Hard,LG,5.014s,110,50,0.455,300,660,0.455,false
7,10:30:35.871,Quaker Bot Hard,LG,4.966s,109,50,0.459,300,654,0.459,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,921,379,2274.0,5526.0,

Kills:,7
Deaths:,0
Fight Time:,38.674
Avg TTK:,8.571
Damage Done:,2274.0
Damage Taken:,2658.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,60862.113281
Score:,2260.420166
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
