Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:23:29.326,Quaker Bot Fast Strafes,LG,5.473s,120,50,0.417,300,720,0.417,false
2,10:23:36.180,Quaker Bot Fast Strafes,LG,4.69s,103,50,0.485,300,618,0.485,false
3,10:23:43.564,Quaker Bot Fast Strafes,LG,5.226s,111,50,0.45,300,666,0.45,false
4,10:23:50.447,Quaker Bot Fast Strafes,LG,4.413s,97,50,0.515,300,582,0.515,false
5,10:23:58.092,Quaker Bot Fast Strafes,LG,5.634s,119,50,0.42,300,714,0.42,false
6,10:24:04.679,Quaker Bot Fast Strafes,LG,4.69s,103,50,0.485,300,618,0.485,false
7,10:24:11.452,Quaker Bot Fast Strafes,LG,4.874s,107,50,0.467,300,642,0.467,false
8,10:24:16.947,Quaker Bot Fast Strafes,LG,3.587s,79,50,0.633,300,474,0.633,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,932,438,2628.0,5592.0,

Kills:,8
Deaths:,0
Fight Time:,38.587002
Avg TTK:,7.5
Damage Done:,2628.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,7884.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
