Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:23:53.593,test,pistol,0.401s,2,1,0.5,1000,4000,0.25,false
2,11:23:54.077,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,11:23:54.784,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,11:23:55.763,test,pistol,0.348s,2,1,0.5,1000,4000,0.25,false
5,11:23:56.373,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,11:23:57.034,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,11:23:57.639,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,11:23:58.232,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,11:23:58.773,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,11:23:59.597,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,11:24:00.631,test,pistol,0.347s,2,1,0.5,1000,4000,0.25,false
12,11:24:01.913,test,pistol,0.744s,2,1,0.5,1000,4000,0.25,false
13,11:24:02.844,test,pistol,0.424s,2,1,0.5,1000,4000,0.25,false
14,11:24:03.395,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,11:24:04.539,test,pistol,0.437s,2,1,0.5,1000,4000,0.25,false
16,11:24:05.204,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,11:24:06.348,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,11:24:06.845,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,11:24:07.713,test,pistol,0.327s,2,1,0.5,1000,4000,0.25,false
20,11:24:08.243,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,11:24:08.614,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,11:24:09.721,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,11:24:10.208,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,11:24:11.670,test,pistol,0.937s,3,1,0.333,1000,6000,0.167,false
25,11:24:12.587,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,11:24:13.392,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,11:24:13.769,test,pistol,0s,1,1,1,1000,2000,0.5,false
28,11:24:14.250,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
29,11:24:14.940,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,11:24:15.494,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,11:24:16.038,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,11:24:17.029,test,pistol,0.611s,2,1,0.5,1000,4000,0.25,false
33,11:24:17.646,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,11:24:18.250,test,pistol,0s,1,1,1,1000,2000,0.5,false
35,11:24:19.835,test,pistol,0.751s,3,1,0.333,1000,6000,0.167,false
36,11:24:20.269,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
37,11:24:21.560,test,pistol,0.874s,4,1,0.25,1000,8000,0.125,false
38,11:24:22.064,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,11:24:22.548,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,11:24:23.905,test,pistol,0.55s,2,1,0.5,1000,4000,0.25,false
41,11:24:24.913,test,pistol,0.497s,2,1,0.5,1000,4000,0.25,false
42,11:24:25.317,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
43,11:24:26.415,test,pistol,0.634s,2,1,0.5,1000,4000,0.25,false
44,11:24:26.796,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,11:24:27.327,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,11:24:27.961,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
47,11:24:29.148,test,pistol,0.45s,2,1,0.5,1000,4000,0.25,false
48,11:24:29.866,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,11:24:30.636,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,11:24:31.220,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,11:24:31.751,test,pistol,0s,1,1,1,1000,2000,0.5,false
52,11:24:32.525,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,11:24:32.896,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,11:24:34.477,test,pistol,0.961s,3,1,0.333,1000,6000,0.167,false
55,11:24:35.705,test,pistol,0.737s,2,1,0.5,1000,4000,0.25,false
56,11:24:37.283,test,pistol,0.947s,3,1,0.333,1000,6000,0.167,false
57,11:24:37.863,test,pistol,0s,1,1,1,1000,2000,0.5,false
58,11:24:38.384,test,pistol,0s,1,1,1,1000,2000,0.5,false
59,11:24:38.755,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,11:24:39.399,test,pistol,0s,1,1,1,1000,2000,0.5,false
61,11:24:39.946,test,pistol,0s,1,1,1,1000,2000,0.5,false
62,11:24:40.393,test,pistol,0s,1,1,1,1000,2000,0.5,false
63,11:24:42.371,test,pistol,1.207s,4,1,0.25,1000,8000,0.125,false
64,11:24:42.786,test,pistol,0s,1,1,1,1000,2000,0.5,false
65,11:24:43.685,test,pistol,0.348s,2,1,0.5,1000,4000,0.25,false
66,11:24:44.182,test,pistol,0s,1,1,1,1000,2000,0.5,false
67,11:24:44.659,test,pistol,0s,1,1,1,1000,2000,0.5,false
68,11:24:45.060,test,pistol,0s,1,1,1,1000,2000,0.5,false
69,11:24:46.034,test,pistol,0.56s,2,1,0.5,1000,4000,0.25,false
70,11:24:47.003,test,pistol,0.37s,2,1,0.5,1000,4000,0.25,false
71,11:24:47.668,test,pistol,0s,1,1,1,1000,2000,0.5,false
72,11:24:48.663,test,pistol,0.267s,2,1,0.5,1000,4000,0.25,false
73,11:24:49.602,test,pistol,0.418s,2,1,0.5,1000,4000,0.25,false
74,11:24:50.152,test,pistol,0s,1,1,1,1000,2000,0.5,false
75,11:24:52.221,test,pistol,0.958s,2,1,0.5,1000,4000,0.25,false
76,11:24:53.077,test,pistol,0s,1,1,1,1000,2000,0.5,false
77,11:24:54.552,test,pistol,0.773s,2,1,0.5,1000,4000,0.25,false
78,11:24:55.160,test,pistol,0s,1,1,1,1000,2000,0.5,false
79,11:24:57.332,test,pistol,1.658s,3,1,0.333,1000,6000,0.167,false
80,11:24:58.426,test,pistol,0.58s,2,1,0.5,1000,4000,0.25,false
81,11:24:59.350,test,pistol,0s,1,1,1,1000,2000,0.5,false
82,11:25:00.397,test,pistol,0s,1,1,1,1000,2000,0.5,false
83,11:25:01.175,test,pistol,0s,1,1,1,1000,2000,0.5,false
84,11:25:01.743,test,pistol,0s,1,1,1,1000,2000,0.5,false
85,11:25:02.655,test,pistol,0.471s,2,1,0.5,1000,4000,0.25,false
86,11:25:03.686,test,pistol,0.357s,2,1,0.5,1000,4000,0.25,false
87,11:25:04.498,test,pistol,0s,1,1,1,1000,2000,0.5,false
88,11:25:04.918,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
89,11:25:06.642,test,pistol,0.963s,3,1,0.333,1000,6000,0.167,false
90,11:25:07.800,test,pistol,0.387s,2,1,0.5,1000,4000,0.25,false
91,11:25:08.447,test,pistol,0s,1,1,1,1000,2000,0.5,false
92,11:25:09.512,test,pistol,0.531s,2,1,0.5,1000,4000,0.25,false
93,11:25:10.662,test,pistol,0.364s,2,1,0.5,1000,4000,0.25,false
94,11:25:11.399,test,pistol,0s,1,1,1,1000,2000,0.5,false
95,11:25:12.887,test,pistol,0.391s,2,1,0.5,1000,4000,0.25,false
96,11:25:13.411,test,pistol,0s,1,1,1,1000,2000,0.5,false
97,11:25:14.192,test,pistol,0.357s,2,1,0.5,1000,4000,0.25,false
98,11:25:15.260,test,pistol,0.57s,2,1,0.5,1000,4000,0.25,false
99,11:25:16.144,test,pistol,0.403s,2,1,0.5,1000,4000,0.25,false
100,11:25:16.869,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
101,11:25:18.049,test,pistol,0.54s,2,1,0.5,1000,4000,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,150,101,101000.0,300000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,101
Deaths:,0
Fight Time:,23.455999
Avg TTK:,0.849
Damage Done:,101000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,68.006668
Scenario:,1wall5targets_pasu
Hash:,a5be19c6e6aeb0d774c5e9d9fb497e91
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
