Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:27:07.811,Quaker Bot Fast Strafes,LG,4.093s,90,50,0.556,300,540,0.556,false
2,08:27:13.171,Quaker Bot Fast Strafes,LG,2.985s,66,50,0.758,300,396,0.758,false
3,08:27:20.142,Quaker Bot Fast Strafes,LG,4.827s,106,50,0.472,300,636,0.472,false
4,08:27:26.005,Quaker Bot Fast Strafes,LG,4.047s,89,50,0.562,300,534,0.562,false
5,08:27:32.773,Quaker Bot Fast Strafes,LG,4.644s,102,50,0.49,300,612,0.49,false
6,08:27:38.679,Quaker Bot Fast Strafes,LG,3.477s,72,50,0.694,300,432,0.694,false
7,08:27:46.667,Quaker Bot Fast Strafes,LG,6.164s,135,50,0.37,300,810,0.37,false
8,08:27:54.240,Quaker Bot Fast Strafes,LG,5.657s,124,50,0.403,300,744,0.403,false
9,08:28:01.364,Quaker Bot Fast Strafes,LG,5.15s,113,50,0.442,300,678,0.442,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,897,450,2700.0,5382.0,

Kills:,9
Deaths:,0
Fight Time:,41.043999
Avg TTK:,6.667
Damage Done:,2700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8100.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
