Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:23:15.051,Quaker Bot Fast Strafes,LG,3.77s,83,50,0.602,300,498,0.602,false
2,08:23:21.764,Quaker Bot Fast Strafes,LG,4.46s,98,50,0.51,300,588,0.51,false
3,08:23:29.535,Quaker Bot Fast Strafes,LG,5.426s,119,50,0.42,300,714,0.42,false
4,08:23:36.023,Quaker Bot Fast Strafes,LG,4.321s,95,50,0.526,300,570,0.526,false
5,08:23:42.924,Quaker Bot Fast Strafes,LG,4.46s,98,50,0.51,300,588,0.51,false
6,08:23:50.004,Quaker Bot Fast Strafes,LG,4.643s,102,50,0.49,300,612,0.49,false
7,08:23:56.471,Quaker Bot Fast Strafes,LG,4.69s,100,50,0.5,300,600,0.5,false
8,08:24:02.732,Quaker Bot Fast Strafes,LG,3.906s,86,50,0.581,300,516,0.581,false
9,08:24:08.538,Quaker Bot Fast Strafes,LG,4.047s,89,50,0.562,300,534,0.562,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,870,450,2700.0,5220.0,

Kills:,9
Deaths:,0
Fight Time:,39.723
Avg TTK:,6.667
Damage Done:,2700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8100.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
