Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:32:03.718,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,08:32:04.332,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,08:32:05.274,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,08:32:06.333,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,08:32:07.240,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,08:32:08.369,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,08:32:09.402,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,08:32:10.182,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,08:32:10.851,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,08:32:11.510,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,08:32:12.499,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,08:32:13.692,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,08:32:14.555,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,08:32:16.034,Pigeon,pistol,0.414s,2,1,0.5,50,250,0.2,false
15,08:32:16.626,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,08:32:17.423,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,08:32:18.196,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,08:32:19.055,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,08:32:19.714,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,08:32:20.510,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,08:32:21.786,Pigeon,pistol,0.486s,2,1,0.5,50,250,0.2,false
22,08:32:22.655,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,08:32:23.697,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,08:32:24.697,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
25,08:32:25.535,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,08:32:26.336,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,08:32:26.889,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,08:32:27.685,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,08:32:28.601,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,08:32:29.355,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
31,08:32:30.613,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,08:32:31.496,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,08:32:33.578,Pigeon,pistol,0.94s,3,1,0.333,50,375,0.133,false
34,08:32:34.352,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,08:32:35.071,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,08:32:35.808,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,08:32:37.125,Pigeon,pistol,0.471s,2,1,0.5,50,250,0.2,false
38,08:32:38.693,Pigeon,pistol,0.665s,2,1,0.5,50,250,0.2,false
39,08:32:39.373,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,08:32:39.970,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,08:32:41.749,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,08:32:42.416,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,08:32:43.254,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,08:32:43.883,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,08:32:44.763,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,08:32:45.414,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
47,08:32:48.004,Pigeon,pistol,0.859s,2,1,0.5,50,250,0.2,false
48,08:32:48.841,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
49,08:32:50.234,Pigeon,pistol,0.756s,2,1,0.5,50,250,0.2,false
50,08:32:51.301,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,08:32:54.102,Pigeon,pistol,0.923s,2,1,0.5,50,250,0.2,false
52,08:32:55.279,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
53,08:32:55.646,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
54,08:32:56.902,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
55,08:32:58.537,Pigeon,pistol,1.205s,2,1,0.5,50,250,0.2,false
56,08:32:59.747,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
57,08:33:00.251,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
58,08:33:01.015,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
59,08:33:02.284,Pigeon,pistol,0.55s,2,1,0.5,50,250,0.2,false
60,08:33:02.984,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
61,08:33:04.463,Pigeon,pistol,0.74s,2,1,0.5,50,250,0.2,false
62,08:33:05.525,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
63,08:33:06.651,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
64,08:33:07.325,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
65,08:33:08.454,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
66,08:33:09.670,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
67,08:33:11.835,Pigeon,pistol,1.022s,2,1,0.5,50,250,0.2,false
68,08:33:12.869,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,81,68,3400.0,10125.0,

Kills:,68
Deaths:,0
Fight Time:,9.035
Avg TTK:,1.038
Damage Done:,3400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,57.086418
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
