Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:43:09.766,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,07:43:10.337,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,07:43:11.201,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,07:43:13.825,Pigeon,pistol,1.31s,2,1,0.5,50,250,0.2,false
5,07:43:15.130,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,07:43:16.154,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,07:43:17.308,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,07:43:18.859,Pigeon,pistol,0.764s,2,1,0.5,50,250,0.2,false
9,07:43:19.599,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,07:43:20.309,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,07:43:21.080,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,07:43:22.247,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,07:43:23.626,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,07:43:25.411,Pigeon,pistol,0.917s,2,1,0.5,50,250,0.2,false
15,07:43:26.142,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,07:43:28.442,Pigeon,pistol,0.606s,2,1,0.5,50,250,0.2,false
17,07:43:29.690,Pigeon,pistol,0.41s,2,1,0.5,50,250,0.2,false
18,07:43:32.222,Pigeon,pistol,1.351s,3,1,0.333,50,375,0.133,false
19,07:43:32.669,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,07:43:33.126,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,07:43:34.173,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,07:43:35.338,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,07:43:37.029,Pigeon,pistol,0.31s,2,1,0.5,50,250,0.2,false
24,07:43:38.027,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,07:43:38.431,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,07:43:40.539,Pigeon,pistol,1.234s,2,1,0.5,50,250,0.2,false
27,07:43:44.085,Pigeon,pistol,2.721s,3,1,0.333,50,375,0.133,false
28,07:43:45.537,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,07:43:46.893,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,07:43:49.311,Pigeon,pistol,1.234s,3,1,0.333,50,375,0.133,false
31,07:43:49.928,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,07:43:53.854,Pigeon,pistol,2.848s,6,1,0.167,50,750,0.067,false
33,07:43:55.118,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,07:43:56.896,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,07:44:00.324,Pigeon,pistol,2.223s,3,1,0.333,50,375,0.133,false
36,07:44:02.642,Pigeon,pistol,0.484s,2,1,0.5,50,250,0.2,false
37,07:44:03.270,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,07:44:03.887,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,07:44:05.464,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,07:44:06.365,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,07:44:07.762,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,07:44:09.665,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,07:44:12.214,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,07:44:13.695,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
45,07:44:15.396,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,07:44:15.976,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,07:44:17.894,Pigeon,pistol,0.791s,2,1,0.5,50,250,0.2,false
48,07:44:19.112,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,48,2400.0,8750.0,

Kills:,48
Deaths:,0
Fight Time:,17.204
Avg TTK:,1.471
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,32.914288
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
