Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:32:12.588,Quaker Bot Hard,LG,6.434s,131,50,0.382,300,786,0.382,false
2,10:32:21.978,Quaker Bot Hard,LG,6.896s,151,50,0.331,300,906,0.331,false
3,10:32:30.359,Quaker Bot Hard,LG,6.023s,132,50,0.379,300,792,0.379,false
4,10:32:36.562,Quaker Bot Hard,LG,3.816s,84,50,0.595,300,504,0.595,false
5,10:32:44.652,Quaker Bot Hard,LG,5.746s,126,50,0.397,300,756,0.397,false
6,10:32:52.750,Quaker Bot Hard,LG,5.703s,125,50,0.4,300,750,0.4,false
7,10:33:00.920,Quaker Bot Hard,LG,5.84s,128,50,0.391,300,768,0.391,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,935,370,2220.0,5610.0,

Kills:,7
Deaths:,0
Fight Time:,40.458
Avg TTK:,8.571
Damage Done:,2220.0
Damage Taken:,2478.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,57908.988281
Score:,2145.208496
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
