Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:06:37.244,Quaker Bot Hard,LG,5.746s,126,50,0.397,300,756,0.397,false
2,08:06:45.804,Quaker Bot Hard,LG,6.164s,135,50,0.37,300,810,0.37,false
3,08:06:53.638,Quaker Bot Hard,LG,7.604s,120,50,0.417,300,720,0.417,false
4,08:07:00.059,Quaker Bot Hard,LG,4.093s,90,50,0.556,300,540,0.556,false
5,08:07:08.670,Quaker Bot Hard,LG,6.207s,136,50,0.368,300,816,0.368,false
6,08:07:16.670,Quaker Bot Hard,LG,5.657s,124,50,0.403,300,744,0.403,false
7,08:07:24.035,Quaker Bot Hard,LG,4.92s,108,50,0.463,300,648,0.463,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,941,400,2400.0,5646.0,

Kills:,8
Deaths:,0
Fight Time:,45.035999
Avg TTK:,7.5
Damage Done:,2400.0
Damage Taken:,2682.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,60137.746094
Score:,2490.541992
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
