Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:20:10.116,Quaker Bot Fast Strafes,LG,5.242s,115,50,0.435,300,690,0.435,false
2,15:20:17.909,Quaker Bot Fast Strafes,LG,5.886s,129,50,0.388,300,774,0.388,false
3,15:20:26.307,Quaker Bot Fast Strafes,LG,6.438s,141,50,0.355,300,846,0.355,false
4,15:20:34.500,Quaker Bot Fast Strafes,LG,6.363s,138,50,0.362,300,828,0.362,false
5,15:20:42.943,Quaker Bot Fast Strafes,LG,6.53s,143,50,0.35,300,858,0.35,false
6,15:20:51.896,Quaker Bot Fast Strafes,LG,6.622s,145,50,0.345,300,870,0.345,false
7,15:20:59.757,Quaker Bot Fast Strafes,LG,6.038s,132,50,0.379,300,792,0.379,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1007,373,2238.0,6042.0,

Kills:,7
Deaths:,0
Fight Time:,43.118999
Avg TTK:,8.571
Damage Done:,2238.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2486.913818
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
