Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:54:40.387,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,08:54:40.750,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,08:54:42.184,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,08:54:42.986,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,08:54:43.748,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,08:54:44.661,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,08:54:45.732,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,08:54:46.242,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,08:54:46.862,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,08:54:49.258,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,08:54:50.649,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,08:54:51.333,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,08:54:51.849,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,08:54:52.393,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
15,08:54:53.734,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,08:54:54.563,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,08:54:55.822,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,08:54:57.272,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,08:54:57.751,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,08:54:59.237,Pigeon,pistol,0.62s,2,1,0.5,50,250,0.2,false
21,08:55:00.502,Pigeon,pistol,0.716s,2,1,0.5,50,250,0.2,false
22,08:55:01.641,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,08:55:02.940,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,08:55:03.946,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,08:55:04.796,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,08:55:05.463,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
27,08:55:06.445,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,08:55:07.328,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,08:55:08.316,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,08:55:09.725,Pigeon,pistol,0.768s,2,1,0.5,50,250,0.2,false
31,08:55:10.891,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,08:55:12.308,Pigeon,pistol,0.886s,2,1,0.5,50,250,0.2,false
33,08:55:13.536,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,08:55:14.410,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,08:55:16.449,Pigeon,pistol,0.59s,2,1,0.5,50,250,0.2,false
36,08:55:17.485,Pigeon,pistol,0.403s,2,1,0.5,50,250,0.2,false
37,08:55:18.874,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,08:55:19.700,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,08:55:20.357,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,08:55:21.337,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,08:55:21.887,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,08:55:22.752,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,08:55:23.581,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,08:55:24.743,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,08:55:25.686,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,08:55:27.150,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,08:55:28.124,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
48,08:55:29.839,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
49,08:55:30.576,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
50,08:55:32.142,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,08:55:33.544,Pigeon,pistol,0.495s,2,1,0.5,50,250,0.2,false
52,08:55:36.020,Pigeon,pistol,1.453s,2,1,0.5,50,250,0.2,false
53,08:55:37.605,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
54,08:55:38.409,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
55,08:55:39.488,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
56,08:55:40.212,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
57,08:55:41.082,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
58,08:55:42.580,Pigeon,pistol,0.706s,2,1,0.5,50,250,0.2,false
59,08:55:44.283,Pigeon,pistol,0.889s,2,1,0.5,50,250,0.2,false
60,08:55:45.106,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
61,08:55:47.089,Pigeon,pistol,1.231s,3,1,0.333,50,375,0.133,false
62,08:55:47.698,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
63,08:55:48.540,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
64,08:55:49.427,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,76,64,3200.0,9500.0,

Kills:,64
Deaths:,0
Fight Time:,8.76
Avg TTK:,1.103
Damage Done:,3200.0
Damage Taken:,0.0
