Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:05:27.585,Quaker Bot Fast Strafes,LG,3.176s,65,50,0.769,300,390,0.769,false
2,18:05:33.582,Quaker Bot Fast Strafes,LG,4.184s,92,50,0.543,300,552,0.543,false
3,18:05:40.553,Quaker Bot Fast Strafes,LG,5.103s,112,50,0.446,300,672,0.446,false
4,18:05:45.928,Quaker Bot Fast Strafes,LG,3.31s,73,50,0.685,300,438,0.685,false
5,18:05:53.625,Quaker Bot Fast Strafes,LG,5.564s,122,50,0.41,300,732,0.41,false
6,18:05:58.715,Quaker Bot Fast Strafes,LG,3.31s,73,50,0.685,300,438,0.685,false
7,18:06:05.005,Quaker Bot Fast Strafes,LG,4.505s,99,50,0.505,300,594,0.505,false
8,18:06:11.647,Quaker Bot Fast Strafes,LG,4.461s,98,50,0.51,300,588,0.51,false
9,18:06:17.521,Quaker Bot Fast Strafes,LG,3.634s,80,50,0.625,300,480,0.625,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,912,495,2970.0,5472.0,

Kills:,9
Deaths:,0
Fight Time:,37.247002
Avg TTK:,6.667
Damage Done:,2970.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8910.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
