Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:40:29.576,Quaker Bot Fast Strafes,LG,4.69s,103,50,0.485,300,618,0.485,false
2,09:40:35.723,Quaker Bot Fast Strafes,LG,4.047s,89,50,0.562,300,534,0.562,false
3,09:40:40.970,Quaker Bot Fast Strafes,LG,3.493s,77,50,0.649,300,462,0.649,false
4,09:40:46.897,Quaker Bot Fast Strafes,LG,3.907s,86,50,0.581,300,516,0.581,false
5,09:40:54.454,Quaker Bot Fast Strafes,LG,5.478s,117,50,0.427,300,702,0.427,false
6,09:41:01.361,Quaker Bot Fast Strafes,LG,4.597s,101,50,0.495,300,606,0.495,false
7,09:41:08.561,Quaker Bot Fast Strafes,LG,5.243s,115,50,0.435,300,690,0.435,false
8,09:41:14.055,Quaker Bot Fast Strafes,LG,3.724s,82,50,0.61,300,492,0.61,false
9,09:41:20.515,Quaker Bot Fast Strafes,LG,4.276s,94,50,0.532,300,564,0.532,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,898,467,2802.0,5388.0,

Kills:,9
Deaths:,0
Fight Time:,39.455002
Avg TTK:,6.667
Damage Done:,2802.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8406.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
