Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:25:56.173,Quaker Bot Fast Strafes,LG,5.517s,121,50,0.413,300,726,0.413,false
2,08:26:02.313,Quaker Bot Fast Strafes,LG,3.952s,87,50,0.575,300,522,0.575,false
3,08:26:07.176,Quaker Bot Fast Strafes,LG,3.174s,70,50,0.714,300,420,0.714,false
4,08:26:14.101,Quaker Bot Fast Strafes,LG,4.595s,97,50,0.515,300,582,0.515,false
5,08:26:19.951,Quaker Bot Fast Strafes,LG,3.816s,84,50,0.595,300,504,0.595,false
6,08:26:27.159,Quaker Bot Fast Strafes,LG,4.736s,104,50,0.481,300,624,0.481,false
7,08:26:33.523,Quaker Bot Fast Strafes,LG,3.77s,83,50,0.602,300,498,0.602,false
8,08:26:39.223,Quaker Bot Fast Strafes,LG,3.954s,87,50,0.575,300,522,0.575,false
9,08:26:45.954,Quaker Bot Fast Strafes,LG,4.92s,108,50,0.463,300,648,0.463,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,883,467,2802.0,5298.0,

Kills:,9
Deaths:,0
Fight Time:,38.433998
Avg TTK:,6.667
Damage Done:,2802.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8406.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
