Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
60,11:49:29.243,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.459s,263,221,0.84,202,240,0.842,false
61,11:49:30.316,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.52s,296,219,0.74,203,270,0.752,false
62,11:49:31.548,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.857s,483,225,0.466,206,440,0.468,false
63,11:49:32.087,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.419s,232,220,0.948,201,211,0.953,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Alcove_Tracking_Weapon,19239,14051,12857.0,17546.0,
Alcove Tracking Effect Helper,0,0,0.0,0.0,

Kills:,63
Deaths:,0
Fight Time:,34.444
Avg TTK:,0.952
Damage Done:,12857.0
Damage Taken:,0.0
Midairs:,389
Midaired:,0
Directs:,1194
Directed:,0
Distance Traveled:,0.0
Score:,12857.0
Scenario:,Target Switching 360
Hash:,4330df31dac064ed7bd5b72602aabd69
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
