Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:37:52.370,Quaker Bot Fast Strafes,LG,3.54s,78,50,0.641,300,468,0.641,false
2,08:37:59.959,Quaker Bot Fast Strafes,LG,5.194s,114,50,0.439,300,684,0.439,false
3,08:38:06.444,Quaker Bot Fast Strafes,LG,4.689s,103,50,0.485,300,618,0.485,false
4,08:38:14.699,Quaker Bot Fast Strafes,LG,5.838s,128,50,0.391,300,768,0.391,false
5,08:38:21.183,Quaker Bot Fast Strafes,LG,4.094s,90,50,0.556,300,540,0.556,false
6,08:38:28.741,Quaker Bot Fast Strafes,LG,5.24s,115,50,0.435,300,690,0.435,false
7,08:38:36.848,Quaker Bot Fast Strafes,LG,5.792s,127,50,0.394,300,762,0.394,false
8,08:38:46.413,Quaker Bot Fast Strafes,LG,7.265s,159,50,0.314,300,954,0.314,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,914,400,2400.0,5484.0,

Kills:,8
Deaths:,0
Fight Time:,41.652
Avg TTK:,7.5
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,7200.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
