Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:32:46.291,Quaker Bot Hard,LG,6.484s,142,50,0.352,300,852,0.352,false
2,17:32:53.164,Quaker Bot Hard,LG,4.46s,98,50,0.51,300,588,0.51,false
3,17:33:01.833,Quaker Bot Hard,LG,6.347s,139,50,0.36,300,834,0.36,false
4,17:33:07.913,Quaker Bot Hard,LG,3.632s,80,50,0.625,300,480,0.625,false
5,17:33:16.490,Quaker Bot Hard,LG,6.116s,134,50,0.373,300,804,0.373,false
6,17:33:24.068,Quaker Bot Hard,LG,5.24s,115,50,0.435,300,690,0.435,false
7,17:33:32.329,Quaker Bot Hard,LG,5.887s,129,50,0.388,300,774,0.388,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,938,395,2370.0,5628.0,

Kills:,7
Deaths:,0
Fight Time:,38.166
Avg TTK:,8.571
Damage Done:,2370.0
Damage Taken:,2886.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,64047.015625
Score:,2386.42334
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
