Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:45:27.751,Quaker Bot Fast Strafes,LG,2.897s,64,50,0.781,300,384,0.781,false
2,10:45:34.257,Quaker Bot Fast Strafes,LG,4.413s,97,50,0.515,300,582,0.515,false
3,10:45:39.828,Quaker Bot Fast Strafes,LG,3.54s,78,50,0.641,300,468,0.641,false
4,10:45:47.411,Quaker Bot Fast Strafes,LG,5.333s,117,50,0.427,300,702,0.427,false
5,10:45:53.738,Quaker Bot Fast Strafes,LG,4.506s,99,50,0.505,300,594,0.505,false
6,10:45:59.862,Quaker Bot Fast Strafes,LG,4.369s,96,50,0.521,300,576,0.521,false
7,10:46:06.642,Quaker Bot Fast Strafes,LG,4.554s,100,50,0.5,300,600,0.5,false
8,10:46:13.219,Quaker Bot Fast Strafes,LG,4.596s,101,50,0.495,300,606,0.495,false
9,10:46:18.753,Quaker Bot Fast Strafes,LG,3.771s,83,50,0.602,300,498,0.602,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,920,486,2916.0,5520.0,

Kills:,9
Deaths:,0
Fight Time:,37.979
Avg TTK:,6.667
Damage Done:,2916.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8748.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
