Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:18:34.889,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,09:18:35.453,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,09:18:35.977,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,09:18:36.941,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,09:18:37.845,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,09:18:39.133,Pigeon,pistol,0.637s,2,1,0.5,50,250,0.2,false
7,09:18:40.004,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
8,09:18:40.424,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,09:18:41.438,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,09:18:41.982,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,09:18:42.682,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
12,09:18:43.362,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,09:18:44.000,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
14,09:18:45.184,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
15,09:18:45.929,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,09:18:46.505,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,09:18:47.240,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
18,09:18:48.960,Pigeon,pistol,1.123s,3,1,0.333,50,375,0.133,false
19,09:18:49.838,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,09:18:50.359,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,09:18:51.772,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,09:18:53.123,Pigeon,pistol,0.317s,2,1,0.5,50,250,0.2,false
23,09:18:54.250,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,09:18:54.954,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,09:18:55.524,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,09:18:56.478,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,09:18:57.795,Pigeon,pistol,0.68s,2,1,0.5,50,250,0.2,false
28,09:18:58.433,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,09:19:00.614,Pigeon,pistol,1.351s,3,1,0.333,50,375,0.133,false
30,09:19:01.131,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,09:19:01.964,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,09:19:02.971,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,09:19:03.748,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,09:19:04.509,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,09:19:06.443,Pigeon,pistol,0.38s,2,1,0.5,50,250,0.2,false
36,09:19:07.391,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
37,09:19:08.201,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,09:19:08.782,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,09:19:09.592,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,09:19:10.053,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,09:19:11.140,Pigeon,pistol,0.57s,2,1,0.5,50,250,0.2,false
42,09:19:11.624,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,09:19:12.334,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,09:19:13.745,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,09:19:14.702,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,09:19:15.286,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,09:19:15.880,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
48,09:19:16.418,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
49,09:19:17.135,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
50,09:19:17.705,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,09:19:18.629,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
52,09:19:19.676,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
53,09:19:21.121,Pigeon,pistol,0.907s,2,1,0.5,50,250,0.2,false
54,09:19:21.771,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
55,09:19:22.879,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
56,09:19:25.313,Pigeon,pistol,0.397s,2,1,0.5,50,250,0.2,false
57,09:19:27.064,Pigeon,pistol,1.13s,2,1,0.5,50,250,0.2,false
58,09:19:28.465,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
59,09:19:29.616,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
60,09:19:31.713,Pigeon,pistol,0.734s,2,1,0.5,50,250,0.2,false
61,09:19:32.754,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
62,09:19:33.340,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
63,09:19:34.167,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
64,09:19:35.488,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
65,09:19:36.322,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
66,09:19:37.044,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
67,09:19:38.104,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
68,09:19:39.242,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
69,09:19:40.189,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
70,09:19:41.232,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
71,09:19:41.820,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
72,09:19:42.794,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
73,09:19:44.176,Pigeon,pistol,0.837s,2,1,0.5,50,250,0.2,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,87,73,3650.0,10875.0,

Kills:,73
Deaths:,0
Fight Time:,9.071
Avg TTK:,0.967
Damage Done:,3650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,61.252872
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
