Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:21:23.590,Quaker Bot Hard,LG,4.734s,104,50,0.481,300,624,0.481,false
2,08:21:29.310,Quaker Bot Hard,LG,3.354s,74,50,0.676,300,444,0.676,false
3,08:21:38.886,Quaker Bot Hard,LG,7.221s,158,50,0.316,300,948,0.316,false
4,08:21:47.506,Quaker Bot Hard,LG,6.207s,136,50,0.368,300,816,0.368,false
5,08:21:57.834,Quaker Bot Hard,LG,8.001s,175,50,0.286,300,1050,0.286,false
6,08:22:05.187,Quaker Bot Hard,LG,4.92s,108,50,0.463,300,648,0.463,false
7,08:22:15.970,Quaker Bot Hard,LG,8.469s,176,50,0.284,300,1056,0.284,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,933,350,2100.0,5598.0,

Kills:,7
Deaths:,0
Fight Time:,42.905998
Avg TTK:,8.571
Damage Done:,2100.0
Damage Taken:,2484.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,58440.785156
Score:,1897.427734
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
