Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:33:14.903,Quaker Bot Hard,LG,5.703s,125,50,0.4,300,750,0.4,false
2,10:33:21.884,Quaker Bot Hard,LG,6.707s,103,50,0.485,300,618,0.485,false
3,10:33:29.841,Quaker Bot Hard,LG,5.656s,124,50,0.403,300,744,0.403,false
4,10:33:37.384,Quaker Bot Hard,LG,5.149s,113,50,0.442,300,678,0.442,false
5,10:33:45.255,Quaker Bot Hard,LG,5.474s,120,50,0.417,300,720,0.417,false
6,10:33:53.432,Quaker Bot Hard,LG,5.839s,128,50,0.391,300,768,0.391,false
7,10:34:01.078,Quaker Bot Hard,LG,5.287s,116,50,0.431,300,696,0.431,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,947,395,2370.0,5682.0,

Kills:,7
Deaths:,0
Fight Time:,39.814999
Avg TTK:,8.571
Damage Done:,2370.0
Damage Taken:,2694.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,65046.730469
Score:,2403.785645
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
