Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:24:48.412,target,BB Gun,0s,1,1,1,1,1,1,false
2,10:24:48.998,target,BB Gun,0s,1,1,1,1,1,1,false
3,10:24:49.659,target,BB Gun,0s,1,1,1,1,1,1,false
4,10:24:50.491,target,BB Gun,0s,1,1,1,1,1,1,false
5,10:24:51.172,target,BB Gun,0s,1,1,1,1,1,1,false
6,10:24:51.879,target,BB Gun,0.001s,1,1,1,1,1,1,false
7,10:24:52.483,target,BB Gun,0s,1,1,1,1,1,1,false
8,10:24:52.874,target,BB Gun,0s,1,1,1,1,1,1,false
9,10:24:53.204,target,BB Gun,0s,1,1,1,1,1,1,false
10,10:24:54.168,target,BB Gun,0s,1,1,1,1,1,1,false
11,10:24:55.166,target,BB Gun,0s,1,1,1,1,1,1,false
12,10:24:55.918,target,BB Gun,0s,1,1,1,1,1,1,false
13,10:24:56.295,target,BB Gun,0s,1,1,1,1,1,1,false
14,10:24:56.949,target,BB Gun,0s,1,1,1,1,1,1,false
15,10:24:57.731,target,BB Gun,0s,1,1,1,1,1,1,false
16,10:24:58.530,target,BB Gun,0s,1,1,1,1,1,1,false
17,10:24:59.178,target,BB Gun,0s,1,1,1,1,1,1,false
18,10:24:59.765,target,BB Gun,0s,1,1,1,1,1,1,false
19,10:25:00.302,target,BB Gun,0s,1,1,1,1,1,1,false
20,10:25:00.709,target,BB Gun,0s,1,1,1,1,1,1,false
21,10:25:01.350,target,BB Gun,0s,1,1,1,1,1,1,false
22,10:25:01.907,target,BB Gun,0s,1,1,1,1,1,1,false
23,10:25:02.687,target,BB Gun,0s,1,1,1,1,1,1,false
24,10:25:03.344,target,BB Gun,0s,1,1,1,1,1,1,false
25,10:25:03.919,target,BB Gun,0s,1,1,1,1,1,1,false
26,10:25:04.487,target,BB Gun,0s,1,1,1,1,1,1,false
27,10:25:04.957,target,BB Gun,0s,1,1,1,1,1,1,false
28,10:25:05.638,target,BB Gun,0s,1,1,1,1,1,1,false
29,10:25:06.205,target,BB Gun,0s,1,1,1,1,1,1,false
30,10:25:06.792,target,BB Gun,0s,1,1,1,1,1,1,false
31,10:25:07.586,target,BB Gun,0s,1,1,1,1,1,1,false
32,10:25:08.363,target,BB Gun,0s,1,1,1,1,1,1,false
33,10:25:08.998,target,BB Gun,0s,1,1,1,1,1,1,false
34,10:25:09.662,target,BB Gun,0s,1,1,1,1,1,1,false
35,10:25:10.246,target,BB Gun,0s,1,1,1,1,1,1,false
36,10:25:10.894,target,BB Gun,0s,1,1,1,1,1,1,false
37,10:25:11.692,target,BB Gun,0s,1,1,1,1,1,1,false
38,10:25:12.442,target,BB Gun,0s,1,1,1,1,1,1,false
39,10:25:13.000,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,10:25:13.992,target,BB Gun,0.001s,1,1,1,1,1,1,false
41,10:25:15.043,target,BB Gun,0s,1,1,1,1,1,1,false
42,10:25:15.747,target,BB Gun,0s,1,1,1,1,1,1,false
43,10:25:16.315,target,BB Gun,0s,1,1,1,1,1,1,false
44,10:25:17.099,target,BB Gun,0.001s,1,1,1,1,1,1,false
45,10:25:17.690,target,BB Gun,0s,1,1,1,1,1,1,false
46,10:25:18.531,target,BB Gun,0s,1,1,1,1,1,1,false
47,10:25:19.412,target,BB Gun,0s,1,1,1,1,1,1,false
48,10:25:20.113,target,BB Gun,0.001s,1,1,1,1,1,1,false
49,10:25:20.517,target,BB Gun,0s,1,1,1,1,1,1,false
50,10:25:21.331,target,BB Gun,0s,1,1,1,1,1,1,false
51,10:25:22.038,target,BB Gun,0s,1,1,1,1,1,1,false
52,10:25:22.459,target,BB Gun,0.001s,1,1,1,1,1,1,false
53,10:25:23.026,target,BB Gun,0s,1,1,1,1,1,1,false
54,10:25:23.803,target,BB Gun,0s,1,1,1,1,1,1,false
55,10:25:24.490,target,BB Gun,0s,1,1,1,1,1,1,false
56,10:25:25.074,target,BB Gun,0s,1,1,1,1,1,1,false
57,10:25:25.378,target,BB Gun,0s,1,1,1,1,1,1,false
58,10:25:25.932,target,BB Gun,0s,1,1,1,1,1,1,false
59,10:25:26.699,target,BB Gun,0s,1,1,1,1,1,1,false
60,10:25:27.247,target,BB Gun,0s,1,1,1,1,1,1,false
61,10:25:27.942,target,BB Gun,0s,1,1,1,1,1,1,false
62,10:25:29.139,target,BB Gun,0.323s,2,1,0.5,1,2,0.5,false
63,10:25:29.764,target,BB Gun,0.001s,1,1,1,1,1,1,false
64,10:25:30.350,target,BB Gun,0s,1,1,1,1,1,1,false
65,10:25:31.204,target,BB Gun,0s,1,1,1,1,1,1,false
66,10:25:31.757,target,BB Gun,0s,1,1,1,1,1,1,false
67,10:25:32.943,target,BB Gun,0.607s,2,1,0.5,1,2,0.5,false
68,10:25:33.756,target,BB Gun,0s,1,1,1,1,1,1,false
69,10:25:34.427,target,BB Gun,0s,1,1,1,1,1,1,false
70,10:25:35.294,target,BB Gun,0s,1,1,1,1,1,1,false
71,10:25:36.207,target,BB Gun,0s,1,1,1,1,1,1,false
72,10:25:36.891,target,BB Gun,0s,1,1,1,1,1,1,false
73,10:25:37.706,target,BB Gun,0s,1,1,1,1,1,1,false
74,10:25:38.927,target,BB Gun,0s,1,1,1,1,1,1,false
75,10:25:39.532,target,BB Gun,0s,1,1,1,1,1,1,false
76,10:25:40.363,target,BB Gun,0s,1,1,1,1,1,1,false
77,10:25:41.084,target,BB Gun,0s,1,1,1,1,1,1,false
78,10:25:41.683,target,BB Gun,0s,1,1,1,1,1,1,false
79,10:25:42.337,target,BB Gun,0s,1,1,1,1,1,1,false
80,10:25:43.225,target,BB Gun,0s,1,1,1,1,1,1,false
81,10:25:43.910,target,BB Gun,0s,1,1,1,1,1,1,false
82,10:25:44.731,target,BB Gun,0.001s,1,1,1,1,1,1,false
83,10:25:45.556,target,BB Gun,0s,1,1,1,1,1,1,false
84,10:25:46.333,target,BB Gun,0s,1,1,1,1,1,1,false
85,10:25:46.868,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,87,85,85.0,87.0,

Kills:,85
Deaths:,0
Fight Time:,0.938
Avg TTK:,0.706
Damage Done:,85.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,830.459778
Scenario:,1wall 6targets small
Hash:,7378a811f430b6072d052a75896afb98
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
