Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:22:12.206,Quaker Bot Fast Strafes,LG,4.184s,92,50,0.543,300,552,0.543,false
2,08:22:20.010,Quaker Bot Fast Strafes,LG,5.703s,125,50,0.4,300,750,0.4,false
3,08:22:28.383,Quaker Bot Fast Strafes,LG,6.069s,133,50,0.376,300,798,0.376,false
4,08:22:34.600,Quaker Bot Fast Strafes,LG,3.587s,79,50,0.633,300,474,0.633,false
5,08:22:41.630,Quaker Bot Fast Strafes,LG,4.92s,108,50,0.463,300,648,0.463,false
6,08:22:46.364,Quaker Bot Fast Strafes,LG,2.896s,64,50,0.781,300,384,0.781,false
7,08:22:52.945,Quaker Bot Fast Strafes,LG,4.277s,94,50,0.532,300,564,0.532,false
8,08:22:59.675,Quaker Bot Fast Strafes,LG,4.367s,96,50,0.521,300,576,0.521,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,896,448,2688.0,5376.0,

Kills:,8
Deaths:,0
Fight Time:,36.002998
Avg TTK:,7.5
Damage Done:,2688.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8064.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
