Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:12:24.014,Quaker Bot Fast Strafes,LG,5.439s,115,50,0.435,300,690,0.435,false
2,17:12:31.416,Quaker Bot Fast Strafes,LG,5.517s,121,50,0.413,300,726,0.413,false
3,17:12:38.139,Quaker Bot Fast Strafes,LG,4.507s,99,50,0.505,300,594,0.505,false
4,17:12:45.717,Quaker Bot Fast Strafes,LG,5.657s,124,50,0.403,300,744,0.403,false
5,17:12:51.561,Quaker Bot Fast Strafes,LG,4.137s,91,50,0.549,300,546,0.549,false
6,17:12:57.422,Quaker Bot Fast Strafes,LG,4.023s,85,50,0.588,300,510,0.588,false
7,17:13:03.722,Quaker Bot Fast Strafes,LG,4.366s,96,50,0.521,300,576,0.521,false
8,17:13:09.866,Quaker Bot Fast Strafes,LG,4.276s,94,50,0.532,300,564,0.532,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,946,446,2676.0,5676.0,

Kills:,8
Deaths:,0
Fight Time:,37.922001
Avg TTK:,7.5
Damage Done:,2676.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8028.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
