Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:24:32.062,Quaker Bot Hard,LG,4.367s,96,50,0.521,300,576,0.521,false
2,09:24:38.209,Quaker Bot Hard,LG,3.77s,83,50,0.602,300,498,0.602,false
3,09:24:45.016,Quaker Bot Hard,LG,4.553s,100,50,0.5,300,600,0.5,false
4,09:24:52.133,Quaker Bot Hard,LG,4.643s,102,50,0.49,300,612,0.49,false
5,09:25:00.134,Quaker Bot Hard,LG,7.724s,125,50,0.4,300,750,0.4,false
6,09:25:10.141,Quaker Bot Hard,LG,7.681s,168,50,0.298,300,1008,0.298,false
7,09:25:19.818,Quaker Bot Hard,LG,9.46s,162,50,0.309,300,972,0.309,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,944,386,2316.0,5664.0,

Kills:,7
Deaths:,0
Fight Time:,42.198002
Avg TTK:,8.571
Damage Done:,2316.0
Damage Taken:,2694.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,64074.738281
Score:,2290.239258
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
