Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:22:40.375,Quaker Bot Hard,LG,7.083s,155,50,0.323,300,930,0.323,false
2,17:22:49.232,Quaker Bot Hard,LG,8.604s,143,50,0.35,300,858,0.35,false
3,17:22:56.083,Quaker Bot Hard,LG,4.597s,101,50,0.495,300,606,0.495,false
4,17:23:04.767,Quaker Bot Hard,LG,6.253s,137,50,0.365,300,822,0.365,false
5,17:23:12.167,Quaker Bot Hard,LG,7.123s,113,50,0.442,300,678,0.442,false
6,17:23:21.287,Quaker Bot Hard,LG,6.807s,149,50,0.336,300,894,0.336,false
7,17:23:29.995,Quaker Bot Hard,LG,8.455s,141,50,0.355,300,846,0.355,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,940,351,2106.0,5640.0,

Kills:,7
Deaths:,0
Fight Time:,48.922001
Avg TTK:,8.571
Damage Done:,2106.0
Damage Taken:,2502.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,59926.074219
Score:,1892.039429
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
