Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:23:00.219,Quaker Bot Hard,LG,5.056s,111,50,0.45,300,666,0.45,false
2,09:23:08.861,Quaker Bot Hard,LG,6.161s,135,50,0.37,300,810,0.37,false
3,09:23:18.291,Quaker Bot Hard,LG,7.037s,154,50,0.325,300,924,0.325,false
4,09:23:26.391,Quaker Bot Hard,LG,5.704s,125,50,0.4,300,750,0.4,false
5,09:23:35.152,Quaker Bot Hard,LG,6.347s,139,50,0.36,300,834,0.36,false
6,09:23:43.082,Quaker Bot Hard,LG,5.518s,121,50,0.413,300,726,0.413,false
7,09:23:51.187,Quaker Bot Hard,LG,5.563s,122,50,0.41,300,732,0.41,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,928,359,2154.0,5568.0,

Kills:,7
Deaths:,0
Fight Time:,41.386002
Avg TTK:,8.571
Damage Done:,2154.0
Damage Taken:,2550.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,64547.792969
Score:,2006.608887
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
